account_id,id_card,risk_level,risk_tags,valid_from,valid_to
6263018301012345678,830173206201013456,L1,engineering_malpractice,2023/1/31,2027/10/7
6289018401456789012,840174206302024567,L2,architectural_malpractice,2023/2/15,2027/3/17
6264018501890123456,850175206403035678,L3,insurance_bad_faith,2023/3/29,2027/1/22
6288018601234567890,860176206504046789,L1,breach_of_contract,2023/4/23,2027/7/18
6265018701678901234,870177206605057890,L2,breach_of_fiduciary_duty,2023/5/8,2027/11/10
6287018801012345678,880178206706068901,L3,conversion,2023/6/22,2027/5/26
6266018901456789012,890179206807079012,L1,extortion,2023/7/17,2027/9/21
6286019001890123456,900180206908080123,L2,blackmail,2023/8/11,2027/4/26
6267019101234567890,910181207009091234,L3,robbery,2023/9/25,2027/12/20
6285019201678901234,920182207110102345,L2,burglary,2023/10/10,2027/2/16
6268019301012345678,930183207211113456,L3,larceny,2023/11/24,2027/8/12
6284019401456789012,940184207312124567,L1,embezzlement,2023/12/8,2027/6/8
6269019501890123456,950185207401015678,L2,receiving_stolen_property,2023/1/26,2027/10/3
6283019601234567890,960186207502026789,L3,arson,2023/2/16,2027/3/13
6270019701678901234,970187207603037890,L1,child_endangerment,2023/3/30,2027/1/18
6282019801012345678,980188207704048901,L2,elder_abuse,2023/4/24,2027/7/14
6271019901456789012,990189207805059012,L3,domestic_violence,2023/5/9,2027/11/6
6281011000189012345,1000190207906060123,L1,stalking,2023/6/23,2027/5/22
